1965,0.001
1966,0.002
1967,0.003
1968,0.004
1969,0.005
1970,0.006
1971,0.007
1972,0.008
1973,0.009
1974,0.0010
1975,0.0011
1976,0.0012
1977,0.0013
1978,0.0014
1979,0.0015
1980,0.0016
1981,0.0017
1982,0.0018
1983,0.0019
1984,0.0020
1985,0.0021
1986,0.0022
1987,0.0023
1988,0.0024
1989,0.0025
1990,0.0026
1991,0.0027
1992,0.0028
1993,0.0029
1994,0.0030
1995,0.0031
1996,0.0032
1997,0.0033
1998,0.0034
1999,0.0035
2000,0.0036
2001,0.0037
2002,0.0038
2003,0.0039
2004,0.0040
2005,0.0041
2006,0.0042
2007,0.0043
2008,0.0044
2009,0.0045
2010,0.0046
2011,0.0047
2012,0.0048
2013,0.0049
2014,0.0050
2015,0.0051
2016,0.0052
2017,0.0053
2018,0.0054
2019,0.0055
2020,0.0056
2021,0.0057
2022,0.0058
2023,0.0059
2024,0.0060
2025,0.0061
2026,0.0062
2027,0.0063
